fund_slug,description
cmcc-global,"Investment activities in Canada (CA). Normal investments: 2. Lead investments: 1. Main sectors: GameFi (33.33%), Blockchain Infrastructure (33.33%), DeFi (33.33%). Associated fund: cmcc-global."
cmcc-global,"Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 2. Main sectors: Blockchain Infrastructure (66.67%), GameFi (33.33%). Associated fund: cmcc-global."
cmcc-global,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: cmcc-global.
cmcc-global,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: NFT (50.0%), Chain (50.0%). Associated fund: cmcc-global."
cmcc-global,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: cmcc-global.
cmcc-global,Investment activities in Austria (AT). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: cmcc-global.
cmcc-global,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: cmcc-global.
cmcc-global,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: cmcc-global.
hivemind-ventures,"Investment activities in United States (US). Normal investments: 6. Lead investments: 1. Main sectors: Blockchain Service (71.43%), CeFi (14.29%), Chain (14.29%). Associated fund: hivemind-ventures."
hivemind-ventures,Investment activities in Canada (CA). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: hivemind-ventures.
hivemind-ventures,Investment activities in Guatemala (GT). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hivemind-ventures.
hivemind-ventures,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hivemind-ventures.
hivemind-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hivemind-ventures.
orbs,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: orbs.
skybridge-capital,Investment activities in Greece (GR). Normal investments: 0. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: skybridge-capital.
skybridge-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: skybridge-capital.
skybridge-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: skybridge-capital.
endeavour-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: endeavour-capital.
endeavour-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: endeavour-capital.
enflux,Investment activities in Seychelles (SC). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: enflux.
goodwater-capital,"Investment activities in United States (US). Normal investments: 9. Lead investments: 0. Main sectors: Blockchain Service (33.33%), NFT (33.33%), Social (11.11%). Associated fund: goodwater-capital."
goodwater-capital,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 2. Main sectors: Blockchain Service (100.0%). Associated fund: goodwater-capital.
goodwater-capital,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: goodwater-capital.
goodwater-capital,"Investment activities in India (IN). Normal investments: 1. Lead investments: 1. Main sectors: DeFi (50.0%), CeFi (50.0%). Associated fund: goodwater-capital."
goodwater-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: goodwater-capital.
goodwater-capital,Investment activities in Canada (CA). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: goodwater-capital.
goodwater-capital,Investment activities in Argentina (AR). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: goodwater-capital.
goodwater-capital,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: goodwater-capital.
breed-vc,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), Blockchain Infrastructure (33.33%), CeFi (33.33%). Associated fund: breed-vc."
breed-vc,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: breed-vc.
dorahacks,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (75.0%), DeFi (25.0%). Associated fund: dorahacks."
dorahacks,"Investment activities in Japan (JP). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), DeFi (50.0%). Associated fund: dorahacks."
dorahacks,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: dorahacks.
dorahacks,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: dorahacks.
dst-global,"Investment activities in United States (US). Normal investments: 5. Lead investments: 4. Main sectors: Others (55.56%), CeFi (33.33%), Blockchain Service (11.11%). Associated fund: dst-global."
dst-global,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 2. Main sectors: CeFi (50.0%), Others (50.0%). Associated fund: dst-global."
dst-global,Investment activities in Brazil (BR). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: dst-global.
dst-global,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: dst-global.
dst-global,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: dst-global.
dst-global,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: dst-global.
dst-global,Investment activities in Argentina (AR). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: dst-global.
boogle,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: boogle.
boogle,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: boogle.
graph-ventures,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), GameFi (50.0%). Associated fund: graph-ventures."
graph-ventures,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: graph-ventures.
wells-fargo,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (66.67%), CeFi (33.33%). Associated fund: wells-fargo."
wells-fargo,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: wells-fargo.
wise3-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: wise3-ventures.
rocktree-capital,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: rocktree-capital.
rocktree-capital,Investment activities in Puerto Rico (PR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: rocktree-capital.
rocktree-capital,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: Social (100.0%). Associated fund: rocktree-capital.
rocktree-capital,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: rocktree-capital.
thirdstream-partners,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), Currency (33.33%), CeFi (33.33%). Associated fund: thirdstream-partners."
gatecap-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: gatecap-ventures.
coinix,"Investment activities in Germany (DE). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (25.0%), Social (25.0%), Blockchain Infrastructure (25.0%). Associated fund: coinix."
coinix,Investment activities in Barbados (BB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: coinix.
coinix,Investment activities in Hong Kong (HK). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: coinix.
coinix,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: coinix.
coinix,Investment activities in Poland (PL). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: coinix.
coinix,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: coinix.
nls-ventures,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: nls-ventures.
starkware,"Investment activities in United States (US). Normal investments: 6. Lead investments: 0. Main sectors: Blockchain Infrastructure (33.33%), DeFi (33.33%), Blockchain Service (16.67%). Associated fund: starkware."
starkware,Investment activities in Israel (IL). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: starkware.
starkware,"Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Infrastructure (50.0%), DeFi (50.0%). Associated fund: starkware."
starkware,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), DeFi (50.0%). Associated fund: starkware."
starkware,"Investment activities in France (FR). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Infrastructure (50.0%), DeFi (50.0%). Associated fund: starkware."
starkware,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: starkware.
starkware,Investment activities in Thailand (TH). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: starkware.
starkware,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: starkware.
